"E
LECTRICAL SPECIFICATIONS (TA = 25°C  unless otherwise noted)","","","","",""
"PARAMETER","","CONDITIONS","SYMBOL","VALUE","UNIT"
"Reverse Breakdown Voltage 
(Minimum Value)","B0520LW","IR = 250μA","VBR","20","V"
"","B0530W","IR = 130μA","","30","V"
"","B0540W","IR = 20μA","","40","V"
"Forward voltage(1) 
(Maximum Value)","B0520LW","IF = 100mA","VF","0.300","V"
"","B0530W","","","0.375","V"
"","B0540W","","","-","V"
"","B0520LW","IF = 500mA","","0.385","V"
"","B0530W","","","0.430","V"
"","B0540W","","","0.510","V"
"","B0520LW","IF = 1000mA","","-","V"
"","B0530W","","","-","V"
"","B0540W","","","0.620","V"
"(2) 
Reverse current @ rated VR
(Maximum Value)","B0520LW","VR = 10V","IR","75","µA"
"","B0530W","","","-","µA"
"","B0540W","","","-","µA"
"","B0520LW","VR = 15V","","-","µA"
"","B0530W","","","20","µA"
"","B0540W","","","-","µA"
"","B0520LW","VR = 20V","","250","µA"
"","B0530W","","","-","µA"
"","B0540W","","","10","µA"
"","B0520LW","VR = 30V","","-","µA"
"","B0530W","","","130","µA"
"","B0540W","","","-","µA"
"","B0520LW","VR = 40V","","-","µA"
"","B0530W","","","-","µA"
"","B0540W","","","20","µA"
"Junction capacitance","","1MHz, VR = 0V","CJ","170","pF"
